Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,Q_RecaptchaScore,Q0_ProlificID,Q1,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q7_4_TEXT,Q8,Q8_5_TEXT,Q9,Q9_9_TEXT,Q10_1,Q11,Q11_7_TEXT,Q12,Q13,Q13_7_TEXT,Q14,Q15,Q16 ,Q17,Q17_1_TEXT,Q18,Q19,Q20,Q21,Q21_5_TEXT,Q22,Q23,Q24,Q24_4_TEXT,Q25,Q25_5_TEXT,Q26,Q26_9_TEXT,Q27_1,Q28,Q28_7_TEXT,Q29,Q30,Q30_7_TEXT,Q31,Q32,Q33,Q34,Q34_1_TEXT,Q35,Q36,Q37,Q38,Q39_1,Q40_1
Duration (in seconds),Finished,Recorded Date,Response ID,Location Latitude,Location Longitude,User Language,Q_RecaptchaScore,"What is your Prolific ID?
Please note that this response should auto-fill with the correct ID",Conversation Description 1,"Please describe, in as much detail as possible, the last time you talked about cybersecurity.
 

Consider:


	
	Who was involved?
	
	
	Where did the conversation take place?
	
	
	What did you talk about?
	
	
	What triggered the conversation?
	
	
	How long did it last?
	
	
	Anything else you remember?","How many people were involved, apart from you?","What was your relationship to the person/people you talked to?

(Check all that apply) - Selected Choice","What was your relationship to the person/people you talked to?

(Check all that apply) - Other (please specify) - Text",Who started the conversation?,Did anybody else join the conversation after you started?,Where did this conversation happen? - Selected Choice,Where did this conversation happen? - Other (please specify) - Text,What led to the topic of cybersecurity coming up? - Selected Choice,What led to the topic of cybersecurity coming up? - Other (please specify) - Text,"What specific cybersecurity issue(s) did you discuss? 

(Check all that apply) - Selected Choice","What specific cybersecurity issue(s) did you discuss? 

(Check all that apply) - Other (please specify) - Text",I felt confident talking about the topic.,"How did you feel during the conversation? 

(Check all that apply) - Selected Choice","How did you feel during the conversation? 

(Check all that apply) - Other (please describe) - Text",Why did you feel this way during the conversation?,"How do you think the other person felt during the conversation? 

(Check all that apply) - Selected Choice","How do you think the other person felt during the conversation? 

(Check all that apply) - Other (please describe) - Text",Why do you think the other person felt this way during the conversation?,Did this conversation lead to any changes (for you or others) regarding cybersecurity practices?,Describe the changes regarding cybersecurity practices.,"Did you have, or do you plan to have, a follow-up conversation regarding the situation you described? - Selected Choice","Did you have, or do you plan to have, a follow-up conversation regarding the situation you described? - Yes, I had (How many?) - Text","Would you like to describe another, different in-person conversation you had about a cybersecurity topic?

(This should be a separate conversation from the one you just described.)",Conversation Description,"How many people were involved, apart from you?","What was your relationship to the person/people you talked to?

(Check all that apply) - Selected Choice","What was your relationship to the person/people you talked to?

(Check all that apply) - Other (please specify) - Text",Who started the conversation?,Did anybody else join the conversation after you started?,Where did this conversation happen? - Selected Choice,Where did this conversation happen? - Other (please specify) - Text,"What led to the topic of cybersecurity coming up? 

(Check all that apply) - Selected Choice","What led to the topic of cybersecurity coming up? 

(Check all that apply) - Other (please specify) - Text","What specific cybersecurity issue(s) did you discuss? 

(Check all that apply) - Selected Choice","What specific cybersecurity issue(s) did you discuss? 

(Check all that apply) - Other (please specify) - Text",I felt confident talking about the topic.,"How did you feel during the conversation? 

(Check all that apply) - Selected Choice","How did you feel during the conversation? 

(Check all that apply) - Other (please describe) - Text",Why did you feel this way during the conversation?,"How do you think the other person felt during the conversation? 

(Check all that apply) - Selected Choice","How do you think the other person felt during the conversation? 

(Check all that apply) - Other (please describe) - Text",Why do you think the other person felt this way during the conversation?,Did this conversation lead to any changes (for you or others) regarding cybersecurity practices?,Describe the changes regarding cybersecurity practices.,"Did you have, or do you plan to have, a follow-up conversation regarding the situation you described? - Selected Choice","Did you have, or do you plan to have, a follow-up conversation regarding the situation you described? - Yes, I already had a follow-up conversation (How many?) - Text",What is your age?,What is your gender?,What is your country of residence?,What is your occupation/field of study?,I often give cybersecurity advice to others.,I have answered all questions honestly.
96,True,6/27/25 13:04,R_8yM19IVeLaUfHCF,"48,114","11,5422",DE,"0,8000000119",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Male,Deutschland,Bauingenieurwesen ,1 (Strongly disagree),5 (Strongly agree)
676,True,6/27/25 13:14,R_4Iu9zOikNldp2er,"7,3367","80,5179",DE,"0,8999999762",,Yes,"1. Vereinskollegen
2. Uni
3. Spam Mails
4. Spam Mails an den Vereinsverteiler vermutlich mit Malware
5. 15 Minuten 
6. ",3,"Friend,Colleague",,Other,"Yes, somebody I know",Workplace/University,,"Personal experience (e.g., cybersecurity incident),Someone asked for advice",,"Application areas (web browsing, smartphone, social media etc.),Incidents (ransomware attack, data breach, leak, device theft etc.),Phishing or scams",,1 (Strongly disagree),"Interested/curious,Worried/anxious",,Weil ich selbst betroffen bin und wenig Ahnung habe,"Interested/curious,Confident/informed",,Mehr Ahnung vom Thema ,Yes,Anderes Mailprogramm mit besserem Spam Filter ,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,26,Male,Deutschland ,Maschinenbau ,1 (Strongly disagree),5 (Strongly agree)
2226,True,6/27/25 14:38,R_8SLSBSpVqPTxBVD,"48,1084","11,6102",DE,"0,6000000238",,Yes,"Ich habe mit Kollegen in der Arbeit (Videostudio) über eine neue Mail in meinem Postfach geredet. In der Mail wurde mitgeteilt, dass ich angeblich falsch mit sensiblen Informationen der Firma umgegangen bin, letztendlich war das ein Test unserer IT Abteilung, ob wir Phishing-Mails erkennen würden. Ich habe meine Kollegen zunächst einfach nur gefragt was ich mit der Mail machen soll, weil ich noch nicht wusste wie man sowas meldet oder blockiert. Diese Art von Mails kommen anscheinend immer wieder bei uns in der Firma auf um die Mitarbeiter bewusster für Phishing-Mails zu machen.",2,Colleague,,Myself,No,Workplace/University,,Someone asked for advice,,Phishing or scams,,4,Indifferent,,"Mir war bewusst dass das entweder Phishing war oder in den falschen Postfach landete, wusste aber einfach nicht wie ich die Mail ""entferne""","Confident/informed,Helpful/responsible",,"Die anderen Personen hatten schon öfter diese Art von Mail ""entfernt""",No,,,,"Yes, I’d like to describe another conversation","Ich habe mit meinem Freund darüber geredet wie wohl AI und die Weiterentwicklung von Deep Fakes die Medien beeinflussen. Ca. 10 Minuten haben wir uns gefragt ob nur die Sozialen Medien betroffen sein werden oder auch die öffentlich rechtlichen Sender, also sowohl Radio als auch Fernsehen, und ob die Masse der Menschen vorsichtiger wird und ""Fake News"" o.ä. erkennt oder ob die meisten eher doch in sowas reinfallen und dann alles glauben was sie sehen und hören ohne es zu hinterfragen. Auslöser waren Deep Fake Memes von Deutschen Politikern an die wir uns erinnert haben. Stattgefunden hat das ganze an einem Ubahn Gleis/in der Ubahn.",1,Friend,,,No,"Public space (e.g., café, train)",,News story or social media post,,"Application areas (web browsing, smartphone, social media etc.),Identity theft or fraud,Other (please specify)",AI,3,"Interested/curious,Worried/anxious",,AI entwickelt sich so schnell und ich hab das Gefühl man kann grad so gar nicht einschätzen was in 5 Jahren oder so passiert,"Interested/curious,Worried/anxious",,Ich glaub ähnlich wie ich selber,Yes,Öfter genauer hinschauen ob ich etwas als Fake oder AI generiert erkenne oder ob es sogar eh als solches markiert wurde,"No, but I plan to have one in the future",,23,Female,Deutschland,Filmbranche/Visual Effects,2,5 (Strongly agree)
591,True,6/27/25 14:46,R_8CsDk3qPTiI6qGk,"48,767","9,1827",DE,"0,8000000119",,Yes,"1. Meine Mutter und ich
2. Wohnzimmer
3. Erweiterung des Virenschutz auf neu angeschaftes Endgerät
4. Neuanschaffung Laptop, noch verfügbare Plätze unter bestehender Lizenz
5. 5min
6. nein",1,Other (please specify),Verwandt,,No,At home,,Work/school-related requirement,,"Application areas (web browsing, smartphone, social media etc.),Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.)",,4,"Interested/curious,Annoyed,Helpful/responsible",,"Leidiges Thema, welches erledigt werden muss. Man kennt sich nicht richtig aus, weiß aber, dass es wichtig ist.","Interested/curious,Helpful/responsible",,andere Person wollte helfen,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,26,Male,Deutschland,Lebensmitteltechnologie,1 (Strongly disagree),5 (Strongly agree)
57,True,6/27/25 16:18,R_9DwDGUdXzMgJuE6,"-6,175","106,8286",EN,"0,3000000119",,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Female,Germany,Medieninformatik,1 (Strongly disagree),5 (Strongly agree)
83,True,6/27/25 20:06,R_825bsQMo3nfLnMZ,"48,1998","11,3609",EN,"0,6000000238",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Female,germany,computer science,1 (Strongly disagree),5 (Strongly agree)
107,True,6/27/25 21:49,R_25BE0bTVK0FWvck,"47,8008","13,0443",DE,"0,1000000015",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Prefer not to answer,Deutschland ,Schauspiel ,2,5 (Strongly agree)
1405,True,6/27/25 23:50,R_8mkmg1jbOsd87fv,"48,1203","11,5807",DE,"0,8000000119",,Yes,"Das Gespräch mit einer Freundin, die eine Schulung für Erwachsene zu IT-Sicherheit anbieten möchte, fand bei ihr zuhause statt.
Sie wollte Feedback zu dem Inhalt ihrer Schulung, da sie zwar als ehemalige Informatik-Studentin grundlegende Kenntnisse zu dem Thema hat, aber noch keine professionelle Erfahrung mit dem Thema hat. Da ich selbst als Informationssicherheitsbeauftrage, externe Prüferin von Cybersecurity und auch andere Berührungspunkte mit dem Thema in der Berufswelt hatte, hat sie mich gefragt.
Das Gespräch hat etwas länger gedauert (1-2h?), da es mehrere Diskussionspunkte gab:
- Es soll nur eine Schulung stattfinden (keine Folgetermine, also keine Vertiefung möglich)
- Hilfe zur Selbsthilfe, da Zeit nur für oberflächlichen Überblick reicht
- Problem mit Überladung/Überforderung
- Themen möglichst einfach, aber möglichst korrekt vermitteln
- Andererseits Distanz wahren (Pflicht zur eigenen Recherche vermitteln und nicht die Verantwortung übernehmen, wenn jemand den Passwortmanager ohne Backup konfiguriert)

Am längsten war die Diskussion zur Passwortgenerierung. Meine Freundin möchte während der Schulung immer wieder Fragen ans Publikum stellen, um das Interesse zu wecken und die Anwendung zu verstehen.
Ihre geplante Frage zielte darauf ab, dass verwendete Passwörter auf haveibeenpwned eingegeben werden sollen, um herauszufinden, wie sicher dieses ist.
Aus meiner Sicht würde ich davon abraten, auch wenn diese Webseite eher vertrauenswürdig ist (was man aber natürlich auch hinterfragen könnte). Jedoch geht es um den Aspekt, dass man Personen davon abbringen sollte, ihre Passwörter auf jeglichen Webseiten einzugeben, die nicht der originalen Webseite für den Login (z. B. Facebook-Passwort nur auf Facebook eingeben) entsprechen. ",3,Friend,,Other,"Yes, somebody I know",Other (please specify),bei der Freundin,"Personal experience (e.g., cybersecurity incident),Someone asked for advice",,"Application areas (web browsing, smartphone, social media etc.),Identity theft or fraud,Incidents (ransomware attack, data breach, leak, device theft etc.),Phishing or scams,Privacy tools (permission manager, cookie banners etc.),Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.)",,5 (Strongly agree),"Interested/curious,Confident/informed,Helpful/responsible",,"Es war spannend herauszufinden, wie sich die Erfahrungen decken und wie sich diese unterscheiden. Zudem konnte ich hilfreiches Feedback geben.","Interested/curious,Confident/informed,Helpful/responsible",,Aus den selben Gründen wie bei mir,No,,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,28,Female,Deutschland,Firewalladministration,4,5 (Strongly agree)
118,True,6/30/25 11:49,R_2YANcpWXPFxaji9,"48,1742","11,7117",DE,"0,3000000119",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,Male,Deutschland,Seniorenstudium. Früher Psychologie.,2,5 (Strongly agree)
810,True,6/30/25 11:58,R_8fDG291HGHwodz3,"47,8487","12,0615",DE,"0,3000000119",,Yes,"1. Ich und die Schulbegleitung meines Sohnes, der eine geistige Einschränkung hat, waren beteiligt. 

2.Schule

3.wie man verhindern kann dass mein Sohn etwas zurücksetzen kann und ändern kann an seinem Schulgerät. 

4. Darüber dass ich eine Nachricht erhalten habe, dass das Passwort meines Appleaccounts zurückgesetzt wurde. Den Appleaccount habe ich nur für das Schul-I-Pad meines Sohnes. Mir war nicht klar warum und wer es gemacht hat und wollte Auskunft dazu was in der Schule geschehen ist, da ich nicht möchte, dass mein Sohn oder andere Leute es ändern können und mir auch nicht klar ist wie es geschehen konnte. 

5.15 Min
6.weder ich noch die Schulbegleitung wissen wie wir vorgehen müssen. Fühlen uns von Schule alleingelassen und unter Druck gesetzt. Sie wollten die Geräte einführen und wir haben Probleme",1,Other (please specify),Schulbegleitung meines Sohnes,Myself,"Yes, somebody I know",Other (please specify),Schule,"Personal experience (e.g., cybersecurity incident),Work/school-related requirement",,"Security behavior (choice of passwords, updating software etc.)",,1 (Strongly disagree),"Worried/anxious,Annoyed,Other (please describe)",Überfordert wütend,"Ich kenn mich nicht aus. Die Schule hilft nicht, will aber das Gerät. ","Worried/anxious,Annoyed",,"Sie ist Schulbegleitung muss nichts mit IT  können, aber hat die Schwierigkeiten vor Ort mit meinem Sohn mit Passwörtern etc",,,"No, but I plan to have one in the future",,"Yes, I’d like to describe another conversation","1. Sohn und ich
2. Daheim
3.wie man nicht was klickt was man nicht soll
4. Sohn hat Einschränkungen, soll aber I Pad in Scvule benutzen. Keiner erklärt ihm was, er überblickt nicht was was koster etc.. was erlaubt ist 
5. 30 min",1,Other (please specify),Sohn,Myself,"Yes, somebody I know",At home,,"Personal experience (e.g., cybersecurity incident)",,"Application areas (web browsing, smartphone, social media etc.),Privacy tools (permission manager, cookie banners etc.),Security behavior (choice of passwords, updating software etc.)",,1 (Strongly disagree),"Worried/anxious,Annoyed",,Mir ist es zu viel. Ich kenn mich svhlecht aus kann meinem behinderten Sohn dort nicht schüzebn,"Worried/anxious,Annoyed,Indifferent",,Ihm ist es alles egal,,,"No, but I plan to have one in the future",,37,Female,Deutschland,Studentin Master Romanistik,1 (Strongly disagree),5 (Strongly agree)
543,True,6/30/25 12:15,R_8sSQOE89KLm5qfL,"48,5309","12,1559",DE,"0,1000000015",,Yes,"Arztbesuch; Arzt wundert sich über meine Herzfrequenz. Er fragt, ob mein Puls bei sportlicher Anstregung ansteigt. Ich antworte, ich denke ja. Er fragt, ob ich das nicht an meiner Smartwatch beobachten würde. Ich antworte, dass ich keine Smartwatch besitze, wiel ich nicht möchte, dass Konzerne in USA oder China Details über meinen Gesundheitszustand erfahren.
Der Arzt ist verwundert, akzeptiert aber meine Position.",1,Other (please specify),Arzt,Other,No,Other (please specify),Arztpraxis,"Personal experience (e.g., cybersecurity incident),Other (please specify)",Bedenken über Datensicherheit von Appliances,"Application areas (web browsing, smartphone, social media etc.),Surveillance or data collection (government, companies etc.),Other (please specify)",private und persönliche Daten,5 (Strongly agree),"Confident/informed,Helpful/responsible",,Klare Stellung beziehen,Other (please describe),tolerant,"Wahrscheinlich hat er sich gewundert, dass ich nicht blauäugig Mehrheitsverhalten folge",No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,64,Male,Bayern,im Ruhestand,3,5 (Strongly agree)
