Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,Q_RecaptchaScore,Q0_ProlificID,Q1,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q7_4_TEXT,Q8,Q8_5_TEXT,Q9,Q9_9_TEXT,Q10_1,Q11,Q11_7_TEXT,Q12,Q13,Q13_7_TEXT,Q14,Q15,Q16 ,Q17,Q17_1_TEXT,Q18,Q19,Q20,Q21,Q21_5_TEXT,Q22,Q23,Q24,Q24_4_TEXT,Q25,Q25_5_TEXT,Q26,Q26_9_TEXT,Q27_1,Q28,Q28_7_TEXT,Q29,Q30,Q30_7_TEXT,Q31,Q32,Q33,Q34,Q34_1_TEXT,Q35,Q36,Q37,Q38,Q39_1,Q40_1
Duration (in seconds),Finished,Recorded Date,Response ID,Location Latitude,Location Longitude,User Language,Q_RecaptchaScore,"What is your Prolific ID?
Please note that this response should auto-fill with the correct ID",Conversation Description 1,"Please describe, in as much detail as possible, the last time you talked about cybersecurity.
 

Consider:


	
	Who was involved?
	
	
	Where did the conversation take place?
	
	
	What did you talk about?
	
	
	What triggered the conversation?
	
	
	How long did it last?
	
	
	Anything else you remember?","How many people were involved, apart from you?","What was your relationship to the person/people you talked to?

(Check all that apply) - Selected Choice","What was your relationship to the person/people you talked to?

(Check all that apply) - Other (please specify) - Text",Who started the conversation?,Did anybody else join the conversation after you started?,Where did this conversation happen? - Selected Choice,Where did this conversation happen? - Other (please specify) - Text,What led to the topic of cybersecurity coming up? - Selected Choice,What led to the topic of cybersecurity coming up? - Other (please specify) - Text,"What specific cybersecurity issue(s) did you discuss?

(Check all that apply) - Selected Choice","What specific cybersecurity issue(s) did you discuss? 

(Check all that apply) - Other (please specify) - Text",I felt confident talking about the topic.,"How did you feel during the conversation? 

(Check all that apply) - Selected Choice","How did you feel during the conversation? 

(Check all that apply) - Other (please describe) - Text",Why did you feel this way during the conversation?,"How do you think the other person felt during the conversation? 

(Check all that apply) - Selected Choice","How do you think the other person felt during the conversation? 

(Check all that apply) - Other (please describe) - Text",Why do you think the other person felt this way during the conversation?,Did this conversation lead to any changes (for you or others) regarding cybersecurity practices?,Describe the changes regarding cybersecurity practices.,"Did you have, or do you plan to have, a follow-up conversation regarding the situation you described? - Selected Choice","Did you have, or do you plan to have, a follow-up conversation regarding the situation you described? - Yes, I had (How many?) - Text","Would you like to describe another, different in-person conversation you had about a cybersecurity topic?

(This should be a separate conversation from the one you just described.)",Conversation Description,"How many people were involved, apart from you?","What was your relationship to the person/people you talked to?

(Check all that apply) - Selected Choice","What was your relationship to the person/people you talked to?

(Check all that apply) - Other (please specify) - Text",Who started the conversation?,Did anybody else join the conversation after you started?,Where did this conversation happen? - Selected Choice,Where did this conversation happen? - Other (please specify) - Text,"What led to the topic of cybersecurity coming up? 

(Check all that apply) - Selected Choice","What led to the topic of cybersecurity coming up? 

(Check all that apply) - Other (please specify) - Text","What specific cybersecurity issue(s) did you discuss? 

(Check all that apply) - Selected Choice","What specific cybersecurity issue(s) did you discuss? 

(Check all that apply) - Other (please specify) - Text",I felt confident talking about the topic.,"How did you feel during the conversation? 

(Check all that apply) - Selected Choice","How did you feel during the conversation? 

(Check all that apply) - Other (please describe) - Text",Why did you feel this way during the conversation?,"How do you think the other person felt during the conversation? 

(Check all that apply) - Selected Choice","How do you think the other person felt during the conversation? 

(Check all that apply) - Other (please describe) - Text",Why do you think the other person felt this way during the conversation?,Did this conversation lead to any changes (for you or others) regarding cybersecurity practices?,Describe the changes regarding cybersecurity practices.,"Did you have, or do you plan to have, a follow-up conversation regarding the situation you described? - Selected Choice","Did you have, or do you plan to have, a follow-up conversation regarding the situation you described? - Yes, I already had a follow-up conversation (How many?) - Text",What is your age?,What is your gender?,What is your country of residence?,What is your occupation/field of study?,I often give cybersecurity advice to others.,I have answered all questions honestly.
96,True,6/27/25 13:04,R_8yM19IVeLaUfHCF,"48,114","11,5422",DE,"0,8000000119",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Male,Germany,Civil engineering,1 (Strongly disagree),5 (Strongly agree)
676,True,6/27/25 13:14,R_4Iu9zOikNldp2er,"7,3367","80,5179",DE,"0,8999999762",,Yes,"1. Club colleagues
2. University
3. Spam emails
4. Spam emails sent to the club mailing list, presumably containing malware
5. 15 minutes
6.",3,"Friend,Colleague",,Other,"Yes, somebody I know",Workplace/University,,"Personal experience (e.g. cybersecurity incident),Someone asked for advice",,"Application areas,Incidents,Phishing or scams",,1 (Strongly disagree),"Interested/curious,Worried/anxious",,Because I am affected myself and have little knowledge of the subject,"Interested/curious,Confident/informed",,More knowledge about the subject,Yes,Another email program with a better spam filter,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,26,Male,Germany,Mechanical engineering,1 (Strongly disagree),5 (Strongly agree)
2226,True,6/27/25 14:38,R_8SLSBSpVqPTxBVD,"48,1084","11,6102",DE,"0,6000000238",,Yes,"I talked to colleagues at work (video studio) about a new email in my inbox. The email stated that I had allegedly mishandled sensitive company information, but it turned out to be a test by our IT department to see if we would recognize phishing emails. At first, I simply asked my colleagues what I should do with the email, because I didn't know how to report or block something like that. Apparently, these types of emails are sent to our company on a regular basis to make employees more aware of phishing emails.",2,Colleague,,Myself,No,Workplace/University,,Someone asked for advice,,Phishing or scams,,4,Indifferent,,"I knew that it was either phishing or had ended up in the wrong mailbox, but I simply didn't know how to “remove” the email.","Confident/informed,Helpful/responsible",,The other people had already “deleted” this type of email several times before.,No,,,,"Yes, I’d like to describe another conversation","I talked to my friend about how AI and the further development of deep fakes will influence the media. For about 10 minutes, we wondered whether only social media would be affected or also public broadcasters, i.e., both radio and television, and whether the masses would become more cautious and recognize “fake news” and the like, or whether most people would fall for it and believe everything they see and hear without questioning it. The trigger was deep fake memes of German politicians that we remembered. The whole thing took place on a subway platform/in the subway.",1,Friend,,,No,"Public space (e.g., café, train)",,News story or social media post,,"Application areas ,Identity theft or fraud,Other (please specify)",AI,3,"Interested/curious,Worried/anxious",,"AI is developing so quickly, and I feel like it's impossible to predict what will happen in five years or so.","Interested/curious,Worried/anxious",,I think similarly to myself,Yes,"Take a closer look more often to see if I recognize something as fake or AI-generated, or if it has even been marked as such.","No, but I plan to have one in the future",,23,Female,Germany,Visual Effects,2,5 (Strongly agree)
591,True,6/27/25 14:46,R_8CsDk3qPTiI6qGk,"48,767","9,1827",DE,"0,8000000119",,Yes,"1. My mother and I
2. Living room
3. Extension of virus protection to newly purchased device
4. New laptop purchase, places still available under existing license
5. 5 minutes
6. No",1,Other (please specify),Family,,No,At home,,Work/school-related requirement,,"Application areas,Security behavior,Security tools",,4,"Interested/curious,Annoyed,Helpful/responsible",,"A tiresome topic that needs to be dealt with. You don't really know much about it, but you know it's important.","Interested/curious,Helpful/responsible",,another person wanted to help,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,26,Male,Germany,Food science,1 (Strongly disagree),5 (Strongly agree)
57,True,6/27/25 16:18,R_9DwDGUdXzMgJuE6,"-6,175","106,8286",EN,"0,3000000119",,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Female,Germany,Media informatics,1 (Strongly disagree),5 (Strongly agree)
83,True,6/27/25 20:06,R_825bsQMo3nfLnMZ,"48,1998","11,3609",EN,"0,6000000238",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Female,Germany,Computer science,1 (Strongly disagree),5 (Strongly agree)
107,True,6/27/25 21:49,R_25BE0bTVK0FWvck,"47,8008","13,0443",DE,"0,1000000015",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Prefer not to answer,Germany,Acting,2,5 (Strongly agree)
1405,True,6/27/25 23:50,R_8mkmg1jbOsd87fv,"48,1203","11,5807",DE,"0,8000000119",,Yes,"The conversation with a friend who wants to offer IT security training for adults took place at her home.
She wanted feedback on the content of her training course because, although she has a basic knowledge of the subject as a former computer science student, she does not yet have any professional experience in this area. Since I myself am an information security officer, an external cybersecurity auditor, and have had other contact with the subject in my professional life, she asked me for my opinion.
The conversation took a little longer than expected (1-2 hours?) because there were several points to discuss:
- Only one training course is to be held (no follow-up sessions, so no in-depth study is possible)
- Help for self-help, as there is only time for a superficial overview
- Problem with overload/overwhelm
- Convey topics as simply as possible, but as accurately as possible
- On the other hand, maintain distance (convey the obligation to do one's own research and not take responsibility if someone configures the password manager without a backup)

The longest discussion was about password generation. My girlfriend always likes to ask the audience questions during training sessions to spark interest and help them understand the application.
Her planned question was about entering passwords used on haveibeenpwned to find out how secure they are.
From my point of view, I would advise against this, even though this website is rather trustworthy (which, of course, could also be questioned). However, the point is that people should be discouraged from entering their passwords on any website that is not the original website for logging in (e.g., only enter your Facebook password on Facebook).",3,Friend,,Other,"Yes, somebody I know",Other (please specify),At home,"Personal experience (e.g. cybersecurity incident),Someone asked for advice",,"Application areas,Identity theft or fraud,Incidents,Phishing or scams,Privacy tools,Security behavior,Security tools",,5 (Strongly agree),"Interested/curious,Confident/informed,Helpful/responsible",,It was exciting to find out how the experiences overlap and how they differ. I was also able to provide helpful feedback.,"Interested/curious,Confident/informed,Helpful/responsible",,For the same reasons as me,No,,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,28,Female,Germany,Firewall administration,4,5 (Strongly agree)
118,True,6/30/25 11:49,R_2YANcpWXPFxaji9,"48,1742","11,7117",DE,"0,3000000119",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,Male,Germany,Senior studies. Formerly psychology.,2,5 (Strongly agree)
